기업명,이벤트 발생 횟수,관련 링크
현대엘리베이터,0,없음
에스원,0,없음
HMM,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210310801452
한국카본,0,없음
오뚜기,0,"요청 실패: HTTPSConnectionPool(host='opendart.fss.or.kr', port=443): Read timed out. (read timeout=10)"
엘에스일렉트릭,0,없음
동원시스템즈,0,없음
삼성중공업,0,없음
롯데케미칼,3,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210729800605; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191106800433; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191017800276
세아베스틸지주,0,없음
호텔신라,0,없음
고려아연,0,없음
한올바이오파마,0,없음
SK텔레콤,0,없음
미원상사,0,없음
현대모비스,0,없음
현대해상,0,없음
한국전력공사,0,없음
녹십자,0,없음
한솔케미칼,0,없음
동원산업,0,없음
에스엘,0,없음
영원무역홀딩스,0,없음
DN오토모티브,0,없음
율촌화학,0,없음
한미사이언스,0,없음
POSCO홀딩스,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240502800775
삼성증권,0,없음
금호석유화학,0,없음
세방전지,0,없음
코스모화학,0,없음
S-Oil,0,없음
한화에어로스페이스,0,없음
현대제철,0,없음
신세계,0,없음
OCI홀딩스,0,없음
현대건설,0,없음
TCC스틸,0,없음
HD현대미포,0,없음
GS건설,0,없음
삼성SDI,0,없음
삼성전기,0,없음
녹십자홀딩스,0,없음
LS,0,없음
농심,0,없음
한화,0,없음
영풍,0,없음
롯데정밀화학,0,없음
DL,0,없음
태광산업,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190624800561
NH투자증권,0,없음
미래에셋증권,0,없음
삼성화재해상보험,0,없음
삼양식품,0,없음
오리온홀딩스,0,없음
삼성전자,2,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210120800650; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190903800354
KG모빌리티,0,없음
현대자동차,0,없음
한화솔루션,0,없음
롯데지주,5,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210729800611; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191106800439; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191017800362; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191017800284; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191017800218
기아,0,없음
CJ,0,없음
두산,0,없음
DB손해보험,0,없음
대웅,0,없음
케이씨씨,0,없음
롯데칠성음료,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191017800365
아모레퍼시픽홀딩스,0,없음
대상,0,없음
LG,0,없음
세아제강지주,0,없음
대한전선,0,없음
한국앤컴퍼니,8,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230331803266; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230331802228; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201123800427; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201123800413; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200420800727; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200420800716; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191213801291; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191211800419
대한항공,2,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201124800471; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190530800443
유한양행,0,없음
CJ대한통운,0,없음
