Unnamed: 0,company_name,이벤트 발생 횟수,source,stock_code,corp_code
90,하나금융지주,2,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231109800555; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220930801042,86790,547583
91,한미반도체,0,없음,42700,161383
92,금호타이어,0,없음,73240,481454
93,GS,0,없음,78930,500254
94,LG디스플레이,0,없음,34220,105873
95,기업은행,0,없음,24110,149646
96,강원랜드,0,없음,35250,255619
97,한국금융지주,0,없음,71050,432102
98,엔씨소프트,0,없음,36570,261443
99,현대백화점,0,없음,69960,428251
100,대웅제약,0,없음,69620,427483
101,티케이지휴켐스,0,없음,69260,426086
102,한샘,0,없음,9240,161693
103,LG전자,0,없음,66570,401731
104,신한지주,0,없음,55550,382199
105,코웨이,0,없음,21240,170558
106,LG생활건강,0,없음,51900,356370
107,LG화학,0,없음,51910,356361
108,대우건설,2,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220211801212; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211015800540,47040,124540
109,포스코인터내셔널,2,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250527800588; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250221801119,47050,124504
110,HD현대인프라코어,0,없음,42670,344287
111,한화오션,0,없음,42660,111704
112,두산에너빌리티,0,없음,34020,159616
113,한국가스공사,3,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250121800533; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231226800514; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230303800286,36460,261285
114,케이티앤지,0,없음,33780,244455
115,HD한국조선해양,0,없음,9540,164830
116,대한유화,0,없음,6650,260383
117,케이티,7,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250613800730; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240625800596; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240621800011; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231011800283; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220617800001; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220203800798; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211117800614,30200,190321
118,제일기획,0,없음,30000,148276
119,SKC,5,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250515802284; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250117800742; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220128800668; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210525800621; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210308800128,11790,139889
120,SK하이닉스,0,없음,660,164779
121,삼성E&A,0,없음,28050,126308
122,HDC,0,없음,12630,164636
123,한온시스템,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250124800542,18880,161125
124,현대엘리베이터,0,없음,17800,164724
125,에스원,0,없음,12750,158501
126,HMM,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210310801452,11200,164645
127,한국카본,0,없음,17960,159795
128,오뚜기,0,없음,7310,141529
129,엘에스일렉트릭,0,없음,10120,105855
130,동원시스템즈,0,없음,14820,132637
131,삼성중공업,0,없음,10140,126478
132,롯데케미칼,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210729800605,11170,165413
133,세아베스틸지주,0,없음,1430,106669
134,호텔신라,0,없음,8770,165680
135,고려아연,0,없음,10130,102858
136,한올바이오파마,0,없음,9420,162586
137,SK텔레콤,0,없음,17670,159023
138,미원상사,0,없음,2840,121932
139,현대모비스,0,없음,12330,164788
140,현대해상,0,없음,1450,164973
141,한국전력공사,0,없음,15760,159193
142,녹십자,0,없음,6280,129679
143,한솔케미칼,0,없음,14680,140955
144,동원산업,0,없음,6040,118026
145,에스엘,0,없음,5850,125521
146,영원무역홀딩스,0,없음,9970,140964
147,DN오토모티브,0,없음,7340,116949
148,율촌화학,0,없음,8730,145260
149,한미사이언스,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241118800618,8930,161426
150,POSCO홀딩스,2,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240726800667; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240502800775,5490,155319
151,삼성증권,0,없음,16360,104856
152,금호석유화학,0,없음,11780,106368
153,세방전지,0,없음,4490,133858
154,코스모화학,0,없음,5420,160302
155,S-Oil,0,없음,10950,138279
156,한화에어로스페이스,0,없음,12450,126566
157,현대제철,0,없음,4020,145880
158,신세계,0,없음,4170,136378
159,OCI홀딩스,0,없음,10060,148896
160,현대건설,0,없음,720,164478
161,TCC스틸,0,없음,2710,117300
162,HD현대미포,0,없음,10620,164609
163,GS건설,0,"요청 실패: HTTPSConnectionPool(host='opendart.fss.or.kr', port=443): Max retries exceeded with url: /api/list.json?crtfc_key=a3e8c0f55e2d783460b8337e65f89c08c66b9bc0&corp_code=00120030&bgn_de=20200624&end_de=20250624&page_no=843&page_count=100 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000174A3BE6510>, 'Connection to opendart.fss.or.kr timed out. (connect timeout=10)'))",6360,120030
164,삼성SDI,0,"요청 실패: HTTPSConnectionPool(host='opendart.fss.or.kr', port=443): Max retries exceeded with url: /api/list.json?crtfc_key=a3e8c0f55e2d783460b8337e65f89c08c66b9bc0&corp_code=00126362&bgn_de=20200624&end_de=20250624&page_no=1&page_count=100 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000174A104BA40>, 'Connection to opendart.fss.or.kr timed out. (connect timeout=10)'))",6400,126362
