company_corp_id,source,title,date
00190321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240625800596,케이티/횡령ㆍ배임사실확인,2024.06.25
00190321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240621800011,케이티/횡령ㆍ배임사실확인,2024.06.21
00190321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231011800283,케이티/횡령ㆍ배임사실확인,2023.10.11
00190321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220617800001,케이티/횡령ㆍ배임사실확인,2022.06.17
00190321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220203800798,케이티/횡령ㆍ배임사실확인,2022.02.03
00190321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20211117800614,케이티/횡령ㆍ배임혐의발생,2021.11.17
00139889,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250515802284,SKC/횡령ㆍ배임사실확인,2025.05.15
00139889,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250117800742,SKC/횡령ㆍ배임사실확인,2025.01.17
00139889,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220128800668,SKC/횡령ㆍ배임사실확인,2022.01.28
00139889,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210525800621,SKC/횡령ㆍ배임혐의발생,2021.05.25
00139889,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210308800128,SKC/횡령ㆍ배임혐의발생,2021.03.08
00161125,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250124800542,한온시스템/횡령ㆍ배임혐의발생,2025.01.24
00164645,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210310801452,HMM/횡령ㆍ배임사실확인,2021.03.10
00165413,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210729800605,롯데케미칼/횡령ㆍ배임사실확인,2021.07.29
00161426,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241118800618,한미사이언스/횡령ㆍ배임혐의발생,2024.11.18
00155319,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240726800667,POSCO홀딩스/횡령ㆍ배임사실확인,2024.07.26
00155319,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240502800775,POSCO홀딩스/횡령ㆍ배임혐의발생,2024.05.02
00126380,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210120800650,삼성전자/횡령ㆍ배임사실확인,2021.01.20
00120562,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210729800611,롯데지주/횡령ㆍ배임사실확인,2021.07.29
00160047,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250530801403,한국앤컴퍼니/횡령ㆍ배임사실확인,2025.05.30
00160047,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250530801320,한국앤컴퍼니/횡령ㆍ배임사실확인,2025.05.30
00160047,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230331803266,한국앤컴퍼니/횡령ㆍ배임혐의발생,2023.03.31
00160047,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230331802228,한국앤컴퍼니/횡령ㆍ배임혐의발생,2023.03.31
00160047,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201123800427,한국앤컴퍼니/횡령ㆍ배임사실확인,2020.11.23
00160047,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201123800413,한국앤컴퍼니/횡령ㆍ배임사실확인,2020.11.23
00113526,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201124800471,대한항공/횡령ㆍ배임사실확인,2020.11.24
